"","brsw1BR1_its","brsw1BR2_its","brsw1BR3_its","brsw1BR4_its","brsw1BR5_its","brsw1BR6_its","brsw1SW1_its","brsw1SW2_its","brsw1SW3_its","brsw1SW4_its","brsw1SW5_its","brsw1SW6_its","brsw2BR1_its","brsw2BR2_its","brsw2BR3_its","brsw2BR4_its","brsw2BR5_its","brsw2BR6_its","brsw2SW1_its","brsw2SW2_its","brsw2SW3_its","brsw2SW4_its","brsw2SW5_its","brsw2SW6_its","brsw3BR1_its","brsw3BR2_its","brsw3BR3_its","brsw3BR4_its","brsw3BR5_its","brsw3BR6_its","brsw3SW1_its","brsw3SW2_its","brsw3SW3_its","brsw3SW4_its","brsw3SW5_its","brsw3SW6_its","brswh2o_its","plnt1BB1_its","plnt1BB2_its","plnt1BB3_its","plnt1BB4_its","plnt1BB5_its","plnt1BB6_its","plnt1BR1_its","plnt1BR2_its","plnt1BR3_its","plnt1BR4_its","plnt1BR5_its","plnt1BR6_its","plnt1LE1_its","plnt1LE2_its","plnt1LE31_its","plnt1LE4_its","plnt1LE5_its","plnt1LE6_its","plnt1RB1_its","plnt1RB2_its","plnt1RB3_its","plnt1RB4_its","plnt1RB5_its","plnt1RB6_its","plnt1SW1_its","plnt1SW2_its","plnt1SW3_its","plnt1SW4_its","plnt1SW5_its","plnt1SW6_its","plnt1VT1_its","plnt1VT2_its","plnt1VT3_its","plnt1VT4_its","plnt1VT5_its","plnt1VT6_its","plnt2BB1_its","plnt2BB2_its","plnt2BB3_its","plnt2BB4_its","plnt2BB5_its","plnt2BB6_its","plnt2BR1_its","plnt2BR2_its","plnt2BR3_its","plnt2BR4_its","plnt2BR5_its","plnt2BR6_its","plnt2LE1_its","plnt2LE2_its","plnt2LE3_its","plnt2LE4_its","plnt2LE5_its","plnt2LE6_its","plnt2RB1_its","plnt2RB2_its","plnt2RB3_its","plnt2RB4_its","plnt2RB5_its","plnt2RB6_its","plnt2SW1_its","plnt2SW2_its","plnt2SW3_its","plnt2SW4_its","plnt2SW5_its","plnt2SW6_its","plnt2VT2_its","plnt2VT3_its","plnt2VT4_its","plnt2VT5_its","plnt2VT6_its","plnt3BB1_its","plnt3BB2_its","plnt3BB3_its","plnt3BB4_its","plnt3BB5_its","plnt3BB6_its","plnt3BR1_its","plnt3BR2_its","plnt3BR3_its","plnt3BR4_its","plnt3BR5_its","plnt3BR6_its","plnt3LE1_its","plnt3LE2_its","plnt3LE4_its","plnt3LE6_its","plnt3RB1_its","plnt3RB2_its","plnt3RB3_its","plnt3RB4_its","plnt3RB6_its","plnt3SW1_its","plnt3SW2_its","plnt3SW3_its","plnt3SW4_its","plnt3SW5_its","plnt3SW6_its","plnt3VT1_its","plnt3VT2_its","plnt3VT3_its","plnt3VT4_its","plnt3VT5_its","plnt3VT6_its","soil1BB1_its","soil1BB2_its","soil1BB3_its","soil1BB4_its","soil1BB5_its","soil1BB6_its","soil1BR1_its","soil1BR2_its","soil1BR3_its","soil1BR4_its","soil1BR5_its","soil1BR6_its","soil1FW1_its","soil1FW2_its","soil1FW3_its","soil1FW4_its","soil1FW5_its","soil1FW6_its","soil1h2o_its","soil1LE1_its","soil1LE2_its","soil1LE3_its","soil1LE4_its","soil1LE5_its","soil1LE6_its","soil1RB1_its","soil1RB2_its","soil1RB3_its","soil1RB4_its","soil1RB5_its","soil1RB6_its","soil1SW1_its","soil1SW2_its","soil1SW3_its","soil1SW4_its","soil1SW5_its","soil1SW6_its","soil1VT1_its","soil1VT2_its","soil1VT3_its","soil1VT4_its","soil1VT5_its","soil1VT6_its","soil2BB1_its","soil2BB2_its","soil2BB3_its","soil2BB4_its","soil2BB5_its","soil2BB6_its","soil2BR1_its","soil2BR2_its","soil2BR3_its","soil2BR4_its","soil2BR5_its","soil2BR6_its","soil2FW1_its","soil2FW2_its","soil2FW3_its","soil2FW4_its","soil2FW5_its","soil2FW6_its","soil2h2o_its","soil2LE1_its","soil2LE2_its","soil2LE3_its","soil2LE4_its","soil2LE5_its","soil2LE6_its","soil2RB1_its","soil2RB2_its","soil2RB3_its","soil2RB4_its","soil2RB5_its","soil2RB6_its","soil2SW1_its","soil2SW2_its","soil2SW3_its","soil2SW4_its","soil2SW5_its","soil2SW6_its","soil2VT1_its","soil2VT2_its","soil2VT3_its","soil2VT4_its","soil2VT5_its","soil2VT6_its","soil3BB1_its","soil3BB2_its","soil3BB3_its","soil3BB4_its","soil3BB5_its","soil3BB6_its","soil3BR1_its","soil3BR2_its","soil3BR3_its","soil3BR4_its","soil3BR5_its","soil3BR6_its","soil3FW1_its","soil3FW2_its","soil3FW3_its","soil3FW4_its","soil3FW5_its","soil3FW6_its","soil3h2o_its","soil3LE1_its","soil3LE2_its","soil3LE3_its","soil3LE4_its","soil3LE5_its","soil3LE6_its","soil3RB1_its","soil3RB2_its","soil3RB3_its","soil3RB4_its","soil3RB5_its","soil3RB6_its","soil3SW1_its","soil3SW2_its","soil3SW3_its","soil3SW4_its","soil3SW5_its","soil3SW6_its","soil3VT1_its","soil3VT2_its","soil3VT3_its","soil3VT4_its","soil3VT5_its","soil3VT6_its"
"Aureobasidium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hormonema",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,1,1,0,1,0,0,1,2,0,0,1,0,0,0,1,0,3,2,4,0,0,0,0,2,0,13,2,4,2,2,3,0,6,4,2,1,0,1,0,0,0,1,0,0,1,0,0,2,1,0,3,0,0,2,1,0,0,3,1,0,0,8,4,0,2,1,0,3,2,0,0,0,1,1,0,2,4,0,0,1,2,1,0,3,0,2,2,0,1,0,1,0,1,1,3,1,1,1,0,14,3,8,4,0,2,0,2,3,2,0,4,0,1,1,5,0,0,15,2,2,3,0,0
"Kabatiella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arthrographis",1,4,1,0,1,0,0,0,8,3,2,0,0,1,0,0,2,0,0,8,0,0,0,2,0,0,0,0,2,3,2,2,3,0,10,2,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,35,77,40,27,53,57,19,21,8,31,30,155,59,38,50,26,42,0,39,52,12,35,46,13,17,27,26,52,29,37,109,43,48,69,26,35,16,53,39,20,22,52,19,17,27,40,48,68,26,0,19,38,26,21,33,18,18,62,27,20,0,50,30,10,55,30,53,50,27,11,32,51,47,32,26,0,38,14,57,45,9,30,65,18,3,49,45,28,32,72,41,55,9,24,33,20,25,57,4,50,15,51,39,0,29,48,44,76,45,38,51,34,31,34,24,29,30,53,42,51,93,15,29,36,61,81,67,20
"Myxotrichaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myxotrichum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oidiodendron",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,2,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0
"Pseudeurotiaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,1,0,0,0,3,1,0,3,1,0,0,0,0,0,1,2,0,0,0,0,0,1,0,2,1,1,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,2,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,2,1,1,0,1,0,0,0,0,0,3,0,0,1,0,1,1,3,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,2,0
"Pseudeurotium",4,9,17,13,10,6,1,2,16,10,1,0,8,3,4,0,17,2,9,52,0,0,0,97,2,1,3,3,15,5,5,5,10,5,41,6,0,5,2,4,3,1,2,2,1,1,0,3,2,2,4,2,2,1,3,2,0,0,1,0,0,1,0,1,3,5,2,4,0,0,0,0,3,3,3,2,1,2,3,2,0,1,0,1,0,0,1,0,1,3,0,2,0,2,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,4,4,2,0,0,0,0,1,0,1,1,0,2,5,2,6,0,0,1,0,0,0,0,2,0,1,0,1,0,0,0,193,82,244,146,70,142,302,234,241,56,285,295,1292,745,407,492,203,408,0,283,859,109,365,567,125,313,215,106,368,319,255,1180,473,463,447,241,255,211,607,493,132,219,286,96,136,141,174,185,180,255,12,491,334,420,290,368,355,165,739,442,287,0,536,354,112,418,486,612,273,111,135,201,393,482,310,349,16,185,339,527,502,182,267,603,354,70,148,266,99,178,255,148,593,80,227,260,291,281,566,94,427,251,436,533,0,328,514,416,732,408,606,572,186,327,264,151,205,306,457,409,446,910,259,230,295,502,794,523,163
"Pseudogymnoascus",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,9,0,0,31,29,198,400,39,146,0,0,0,0,0,0,1,0,0,0,0,0,74,0,191,272,3,24,0,0,0,1,0,0,0,0,0,0,0,0,71,50,55,1,166,76,0,0,0,0,0,0,0,0,0,0,0,0,19,1,18,16,0,13,0,0,0,0,0,0,0,0,23,0,0,31,69,104,180,207,540,0,0,0,1,1,1,0,0,0,0,15,15,15,39,120,0,0,0,1,18,0,0,1,0,0,2,0,4,2,2,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,2,1,0,5,0,2,1,0,0,0,3,1,2,1,1,0,37,5,8,5,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,2,3,7,1,0,0,0,1,1,1,1,4,1,1,0,10,2,1,1,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,2,0,1,1,4,2,1,0,2,0,0,0,3,2,0
"Pleosporales",0,0,0,2,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,1,0,0,0,0,0,0,8,0,1,2,0,0,79,2,166,99,62,134,3,3,0,2,1,592,0,1,1,0,1,2,456,1,237,332,105,379,17,1,20,14,18,63,66,36,4,86,318,281,102,20,70,7,159,23,0,2,0,0,0,0,12,0,0,0,0,0,274,0,128,149,15,746,5,104,5,60,7,29,18,20,283,73,102,13,24,5,16,200,16,1,0,0,0,0,0,0,0,0,1,71,166,271,240,217,2,8,0,3,1,3,21,41,14,42,61,14,28,2,70,20,14,48,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,18,38,58,35,69,38,5,4,0,0,3,0,1,6,2,0,1,0,19,32,10,41,14,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,31,30,21,64,60,76,1,0,0,0,2,2,1,2,41,1,0,0,9,4,28,36,104,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,56,52,44,74,73,48,1,0,1,3,0,0,1,0,0,0,1,0
"Pyrenochaetopsis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Didymosphaeria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dictyosporium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leptosphaerulina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phoma",0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,16,1,0,0,0,0,0,0,0,3,0,0,3,16,6,4,6,15,96,16,27,5,20,58,113,1,0,0,0,0,1,1,3,5,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,16,41,3,16,6,0,22,6,0,12,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,21,0,25,3,2,3,7,6,36,25,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,2,0,2,0
"Pyrenochaeta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,15,1,0,0,1,3,9,0,8,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,37,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,15,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coniothyrium",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lophiostoma",0,1,11,0,358,0,0,173,0,69,3,0,0,0,0,0,0,0,0,6,2,0,0,4,0,1,19,0,0,0,1,106,10,37,7,2,0,0,0,21,5,2,1,1,0,0,0,0,0,1,1,3,9,8,0,0,0,5,0,0,1,1,0,0,5,1,8,63,6,0,0,3,1,0,2,2,0,3,1022,1,0,0,0,2,0,0,2,0,1,0,4,0,0,2,0,0,1,0,8,0,1,0,129,0,0,0,0,0,4,3,1,0,0,2,0,0,0,1,0,3,0,0,0,1,1,12,0,0,0,0,1,0,1,1,0,0,0,0,4,0,0,165,40,524,103,29,32,1,0,52,1,0,34,30,14,9,7,6,6,0,7,2,1,0,4,0,37,5,15,296,18,17,112,25,24,120,10,6,11,69,9,2,11,5,168,131,144,49,344,271,2,0,9,1,1,10,9,22,1,7,2,0,0,4,4,0,10,6,9,39,80,10,38,138,135,22,33,0,5,8,56,21,9,20,21,10,4,81,59,71,587,148,19,26,2,1,2,3,3,36,1,4,3,5,2,0,4,5,24,15,1,4,236,24,131,187,98,64,4,46,18,37,16,10,4,4,7,28,5,5
"Massarina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
